group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
250_with_failures,250,11,1,300,4,76,0.99166,0.984,0.808167,0.674797,0.989948,0.98374,76,0,0.181781
250_with_failures,250,11,2,450,4,86,0.990005,0.98374,0.791806,0.628099,0.988916,0.983471,85,0,0.19711
250_with_failures,250,11,3,600,3,67,0.988919,0.983471,0.829932,0.702929,0.988947,0.983264,64,1,0.159015
250_with_failures,250,12,1,300,4,105,0.991528,0.988,0.78019,0.560976,0.992818,0.995935,105,0,0.212628
250_with_failures,250,12,2,450,3,58,0.99293,0.995935,0.856208,0.757202,0.992457,0.995885,58,0,0.136249
250_with_failures,250,12,3,600,3,75,0.992454,0.995885,0.83061,0.683333,0.991104,0.995833,75,0,0.160494
250_with_failures,250,13,1,300,4,113,0.995837,1.0,0.752642,0.54065,0.994595,1.0,113,0,0.241953
250_with_failures,250,13,2,450,4,51,0.99389,1.0,0.819682,0.789256,0.993496,1.0,51,0,0.173814
250_with_failures,250,13,3,600,3,69,0.993498,1.0,0.812924,0.711297,0.992952,1.0,68,0,0.180028
250_with_failures,250,14,1,300,4,102,0.993315,0.992,0.812533,0.577236,0.991744,0.99187,102,0,0.179211
250_with_failures,250,14,2,450,3,42,0.99182,0.99187,0.895431,0.81893,0.991318,0.99177,41,1,0.095887
250_with_failures,250,14,3,600,3,107,0.991317,0.99177,0.811608,0.545833,0.991364,0.991667,107,0,0.179756
250_with_failures,250,15,1,300,4,45,0.994736,0.996,0.85373,0.813008,0.993859,0.995935,45,0,0.140129
250_with_failures,250,15,2,450,4,41,0.993857,0.995935,0.857058,0.826446,0.993637,0.995868,41,0,0.136579
250_with_failures,250,15,3,600,4,98,0.993636,0.995868,0.77905,0.584034,0.993277,0.995798,98,0,0.214227
